id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
7050893070,new york city,1465,apartment,650,1,1,1,0,0,0,0,0,laundry in bldg,off-street parking,41.1668,-73.2163,ny
7050891981,new york city,3200,apartment,700,2,1,0,0,1,0,0,0,w/d in unit,,40.7597,-73.9918,ny
7050868086,new york city,2900,apartment,1100,2,1,1,0,1,0,0,0,w/d in unit,off-street parking,41.0765,-73.8592,ny
7050885325,new york city,2325,apartment,943,1,1,1,1,1,0,0,0,laundry on site,,40.6702,-73.431,ny
7050883186,new york city,4699,apartment,1200,3,2,1,1,1,0,0,0,w/d in unit,,40.6881,-73.9608,ny
7050882440,new york city,1449,apartment,300,0,1,1,0,1,0,0,0,laundry in bldg,attached garage,40.5847,-73.971,ny
7050880988,new york city,2295,apartment,950,2,1.5,0,0,1,0,0,0,laundry in bldg,attached garage,40.5895,-73.957,ny
7050880530,new york city,2650,apartment,1200,3,2,0,0,1,0,0,0,,,40.6002,-73.7549,ny
7050879089,new york city,1400,apartment,600,1,1,0,0,1,0,0,0,no laundry on site,street parking,41.0222,-73.6798,ny
7050866051,new york city,2100,apartment,1100,1,1,1,0,1,0,0,0,laundry in bldg,street parking,41.0342,-73.7628,ny
7050863641,new york city,2500,apartment,975,2,1,0,0,1,0,0,0,,attached garage,40.6251,-74.0303,ny
7050863185,new york city,1850,apartment,666,1,1,0,0,1,0,0,0,,,40.936,-73.9028,ny
7050862099,new york city,1449,apartment,529,0,1,0,1,0,0,0,0,laundry in bldg,detached garage,41.0888,-73.5435,ny
7050861807,new york city,2950,apartment,670,2,1,1,1,1,0,1,0,laundry in bldg,off-street parking,40.7101,-74.0013,ny
7050860484,new york city,1650,apartment,525,1,1,1,1,1,0,0,0,no laundry on site,off-street parking,40.5923,-73.7933,ny
7050860094,new york city,3600,apartment,20,4,1.5,1,1,1,0,0,0,,,40.7006,-73.918,ny
7050199936,new york city,2350,apartment,1500,3,1,0,0,1,0,0,0,,,40.5929,-73.9688,ny
7050859507,new york city,3000,apartment,20,2,1,1,1,1,0,0,0,laundry in bldg,,40.6976,-73.931,ny
7050858217,new york city,2750,apartment,600,1,1,1,1,1,0,0,0,,,40.7665,-73.9147,ny
7050856233,new york city,1450,apartment,1000,1,1,1,1,0,0,0,0,laundry in bldg,off-street parking,41.1573,-73.2313,ny
7050854912,new york city,2195,apartment,1200,2,1.5,1,1,1,0,0,0,laundry in bldg,off-street parking,41.0218,-73.7753,ny
